subject	world	path	squaretype	chosenPath	chosenSquareType	rt
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	875
S269331	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4325
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	2448
S279506	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2079
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1334
S280055	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2391
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	4262
S29058	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3414
S29058	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1000
S293561	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4485
S293561	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	680
S294201	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	9653
S294201	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1177
S294423	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1769
S294423	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	552
S299579	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	43793
S299579	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	821
S299693	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1295
S299693	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1377
S311128	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1112
S311128	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1264
S319548	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2598
S319548	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	807
S334404	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	6441
S334404	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	508
S336295	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3866
S336295	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	727
S337973	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	10428
S337973	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	812
S34222	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	3723
S34222	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	948
S34222	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	679
S342386	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	5811
S342386	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	611
S34564	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	19076
S34564	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	556
S355417	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4305
S355417	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1717
S357773	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3429
S357773	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	2495
S365730	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1224
S365730	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	999
S368470	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2940
S368470	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1495
S368470	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	1104
S37550	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2025
S37550	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1148
S376806	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2621
S376806	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	922
S381257	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2650
S381257	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	982
S381257	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	751
S391243	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	4489
S391243	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1699
S391243	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	1001
S394005	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	1247
S394005	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1540
S394005	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	924
S398678	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1515
S398678	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1026
S402333	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3081
S402333	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	785
S409816	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	1124
S409816	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	816
S409816	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	818
S411804	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2936
S411804	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1083
S411804	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(4,4);p(3,4);p(3,3);p(3,2);	G	1897
S413158	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	8989
S413158	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	536
S414838	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	7642
S414838	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1104
S415189	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2848
S415189	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	944
S415189	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	1610
S419107	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1201
S419107	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	768
S421809	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	11309
S421809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	709
S421809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	597
S42633	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4421
S42633	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	843
S455320	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3876
S455320	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1070
S482085	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2158
S482085	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	242
S489428	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1330
S489428	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	558
S490917	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3955
S490917	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1848
S49292	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2699
S49292	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1749
S505076	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1780
S505076	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	891
S507343	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	1041
S507343	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1609
S507343	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	681
S524015	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1344
S524015	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1305
S528885	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	1369
S528885	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1096
S528885	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	1310
S531684	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	726
S531684	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	508
S553913	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1800
S553913	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	460
S559226	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);	D	5218
S559226	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1426
S582832	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3326
S582832	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	791
S599357	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1995
S599357	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	817
S600079	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1260
S600079	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	899
S600877	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4117
S600877	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	615
S607333	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2288
S607333	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	802
S607333	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	550
S622759	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1515
S622759	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1016
S625801	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	4798
S625801	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	719
S633374	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	771
S633374	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	384
S646424	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1141
S646424	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	4154
S649302	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1034
S649302	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	938
S653044	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	28449
S653044	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	585
S661572	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1764
S661572	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1175
S666066	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	811
S666066	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	590
S673562	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2024
S673562	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	792
S680947	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	970
S680947	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	911
S699104	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1596
S699104	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);	G	370
S701323	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1349
S701323	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	431
S702215	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1179
S702215	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	752
S717976	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	966
S717976	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	773
S722906	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	4557
S722906	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	466
S722906	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	597
S723916	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2826
S723916	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	473
