subject	world	path	squaretype	nodeName	availableChildName	nodeValue	chosen
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S166242	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S166242	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S180888	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S180888	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S185508	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S185508	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S191334	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S191334	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S20545	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S20545	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S224593	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S224593	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S235282	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S235282	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S247056	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S247056	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S248332	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S248332	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S250296	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S250296	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S256137	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S256137	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S265716	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S265716	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S269331	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S269331	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S279506	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S279506	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S280055	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S280055	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S29058	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S29058	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S29058	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S29058	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S293561	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S293561	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S293561	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S293561	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S294201	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S294201	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S294201	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S294201	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S294423	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S294423	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S294423	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S294423	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S299579	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S299579	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S299579	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S299579	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S299693	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S299693	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S299693	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S299693	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S311128	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S311128	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S311128	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S311128	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S319548	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S319548	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S319548	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S319548	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S334404	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S334404	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S334404	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S334404	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S336295	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S336295	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S336295	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S336295	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S337973	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S337973	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S337973	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S337973	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S34222	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S34222	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S34222	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S34222	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S342386	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S342386	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S342386	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S342386	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S34564	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S34564	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S34564	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S34564	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S355417	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S355417	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S355417	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S355417	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S357773	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S357773	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S357773	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S357773	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S365730	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S365730	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S365730	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S365730	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S368470	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S368470	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S368470	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S368470	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S37550	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S37550	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S37550	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S37550	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S376806	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S376806	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S376806	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S376806	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S381257	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S381257	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S381257	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S381257	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S391243	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S391243	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S391243	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S391243	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S394005	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S394005	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S394005	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S394005	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S398678	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S398678	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S398678	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S398678	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S402333	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S402333	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S402333	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S402333	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S409816	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S409816	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S409816	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S409816	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S411804	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S411804	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S411804	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S411804	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S413158	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S413158	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S413158	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S413158	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S414838	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S414838	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S414838	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S414838	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S415189	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S415189	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S415189	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S415189	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S419107	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S419107	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S419107	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S419107	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S421809	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S421809	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S421809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S421809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S42633	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S42633	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S42633	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S42633	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S455320	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S455320	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S455320	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S455320	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S482085	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S482085	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S482085	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S482085	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S489428	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S489428	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S489428	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S489428	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S490917	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S490917	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S490917	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S490917	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S49292	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S49292	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S49292	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S49292	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S505076	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S505076	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S505076	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S505076	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S507343	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S507343	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S507343	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S507343	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S524015	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S524015	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S524015	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S524015	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S528885	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S528885	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S528885	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S528885	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S531684	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S531684	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S531684	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S531684	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S553913	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S553913	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S553913	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S553913	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S559226	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S559226	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S559226	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S559226	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S582832	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S582832	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S582832	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S582832	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S599357	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S599357	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S599357	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S599357	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S600079	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S600079	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S600079	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S600079	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S600877	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S600877	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S600877	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S600877	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S607333	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S607333	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S607333	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S607333	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S622759	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S622759	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S622759	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
